id,event_type,latitude,longitude,event_cause,requires_road_closure,start_datetime,end_datetime,resolved_datetime,closed_datetime,status,authenticated,modified_datetime,priority,corridor,zone,junction,police_station,created_date,client_id,gba_identifier,kgid,endlatitude,endlongitude,end_address,address,description,veh_type,veh_no,cargo_material,reason_breakdown,age_of_truck,route_path,assigned_to_police_id,citizen_accident_id,comment,meta_data,map_file,direction,created_by_id,last_modified_by_id,closed_by_id,resolved_by_id,resolved_at_address,resolved_at_latitude,resolved_at_longitude
FKID000026,unplanned,13.257314960733648,77.59921323537081,event,True,2023-01-07 12:00:00,2023-01-07 14:00:00,2023-01-07 13:30:00,2023-01-07 14:00:00,resolved,yes,2023-01-07 12:00:00,Medium,Hosur Road,Central Zone 1,,Cubbon Park,2023-01-07 12:00:00,1,Bengaluru Central Corporation,KG26,,,,,,,,,,,,,,,,,,,,,,,,
FKID000027,unplanned,12.984755930593378,77.71968012934474,construction,False,2023-01-07 18:00:00,2023-01-07 20:00:00,2023-01-07 19:30:00,2023-01-07 20:00:00,resolved,yes,2023-01-07 18:00:00,Medium,Tumkur Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-07 18:00:00,2,Bengaluru Central Corporation,KG27,,,,,,,,,,,,,,,,,,,,,,,,
FKID000028,unplanned,13.219261880933242,77.57474705338906,breakdown,True,2023-01-08 00:00:00,2023-01-08 02:00:00,2023-01-08 01:30:00,2023-01-08 02:00:00,resolved,yes,2023-01-08 00:00:00,Medium,Mysore Road,West Zone,MekhriCircle,Cubbon Park,2023-01-08 00:00:00,1,Bengaluru Central Corporation,KG28,,,,,,,,,,,,,,,,,,,,,,,,
FKID000029,planned,13.096635154218713,77.51160809443546,event,True,2023-01-08 06:00:00,2023-01-08 08:00:00,2023-01-08 07:30:00,2023-01-08 08:00:00,resolved,yes,2023-01-08 06:00:00,Medium,Outer Ring Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-08 06:00:00,1,,KG29,,,,,,,,,,,,,,,,,,,,,,,,
FKID000030,unplanned,13.173561312664575,77.51860775415427,event,True,2023-01-08 12:00:00,2023-01-08 14:00:00,2023-01-08 13:30:00,2023-01-08 14:00:00,resolved,yes,2023-01-08 12:00:00,High,Hosur Road,West Zone,UrvashiJunction,Cubbon Park,2023-01-08 12:00:00,1,Bengaluru Central Corporation,KG30,,,,,,,,,,,,,,,,,,,,,,,,
FKID000031,unplanned,13.036239433759441,77.68560787056371,construction,False,2023-01-08 18:00:00,2023-01-08 20:00:00,2023-01-08 19:30:00,2023-01-08 20:00:00,resolved,yes,2023-01-08 18:00:00,Low,Outer Ring Road,West Zone,MekhriCircle,Cubbon Park,2023-01-08 18:00:00,2,,KG31,,,,,,,,,,,,,,,,,,,,,,,,
FKID000032,planned,13.07114482577439,77.64691887709539,accident,False,2023-01-09 00:00:00,2023-01-09 02:00:00,2023-01-09 01:30:00,2023-01-09 02:00:00,resolved,yes,2023-01-09 00:00:00,Low,NH 44,Central Zone 1,HebbalFlyover,Cubbon Park,2023-01-09 00:00:00,4,Bengaluru Central Corporation,KG32,,,,,,,,,,,,,,,,,,,,,,,,
FKID000033,unplanned,13.031483316094866,77.50730312255315,accident,False,2023-01-09 06:00:00,2023-01-09 08:00:00,2023-01-09 07:30:00,2023-01-09 08:00:00,resolved,yes,2023-01-09 06:00:00,Medium,Tumkur Road,Central Zone 2,SilkBoardJunction,Cubbon Park,2023-01-09 06:00:00,1,Bengaluru Central Corporation,KG33,,,,,,,,,,,,,,,,,,,,,,,,
FKID000034,unplanned,12.891764204265082,77.50270883765106,breakdown,False,2023-01-09 12:00:00,2023-01-09 14:00:00,2023-01-09 13:30:00,2023-01-09 14:00:00,resolved,yes,2023-01-09 12:00:00,High,NH 44,Central Zone 2,MarathahalliBridge,Cubbon Park,2023-01-09 12:00:00,2,Bengaluru Central Corporation,KG34,,,,,,,,,,,,,,,,,,,,,,,,
FKID000035,unplanned,13.139552494172907,77.66926166549396,construction,False,2023-01-09 18:00:00,2023-01-09 20:00:00,2023-01-09 19:30:00,2023-01-09 20:00:00,resolved,yes,2023-01-09 18:00:00,Medium,Outer Ring Road,West Zone,,Cubbon Park,2023-01-09 18:00:00,4,Bengaluru Central Corporation,KG35,,,,,,,,,,,,,,,,,,,,,,,,
FKID000036,unplanned,12.931963010347202,77.49964601171834,accident,False,2023-01-10 00:00:00,2023-01-10 02:00:00,2023-01-10 01:30:00,2023-01-10 02:00:00,resolved,yes,2023-01-10 00:00:00,High,Outer Ring Road,Central Zone 1,MarathahalliBridge,Cubbon Park,2023-01-10 00:00:00,1,Bengaluru Central Corporation,KG36,,,,,,,,,,,,,,,,,,,,,,,,
FKID000037,planned,12.811428504222784,77.70190221600839,construction,False,2023-01-10 06:00:00,2023-01-10 08:00:00,2023-01-10 07:30:00,2023-01-10 08:00:00,resolved,yes,2023-01-10 06:00:00,Low,Mysore Road,Central Zone 2,,Cubbon Park,2023-01-10 06:00:00,3,Bengaluru Central Corporation,KG37,,,,,,,,,,,,,,,,,,,,,,,,
FKID000038,unplanned,13.10337197907637,77.67068540133225,accident,False,2023-01-10 12:00:00,2023-01-10 14:00:00,2023-01-10 13:30:00,2023-01-10 14:00:00,resolved,yes,2023-01-10 12:00:00,High,Hosur Road,Central Zone 1,UrvashiJunction,Cubbon Park,2023-01-10 12:00:00,4,,KG38,,,,,,,,,,,,,,,,,,,,,,,,
FKID000039,unplanned,12.883242019321314,77.50196417077332,event,False,2023-01-10 18:00:00,2023-01-10 20:00:00,2023-01-10 19:30:00,2023-01-10 20:00:00,resolved,yes,2023-01-10 18:00:00,Medium,Hosur Road,Central Zone 1,MarathahalliBridge,Cubbon Park,2023-01-10 18:00:00,1,Bengaluru Central Corporation,KG39,,,,,,,,,,,,,,,,,,,,,,,,
FKID000040,unplanned,13.24201553464587,77.502906182803,accident,False,2023-01-11 00:00:00,2023-01-11 02:00:00,2023-01-11 01:30:00,2023-01-11 02:00:00,resolved,yes,2023-01-11 00:00:00,Medium,NH 44,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-11 00:00:00,4,,KG40,,,,,,,,,,,,,,,,,,,,,,,,
FKID000041,unplanned,13.248346431191216,77.74639268619532,construction,False,2023-01-11 06:00:00,2023-01-11 08:00:00,2023-01-11 07:30:00,2023-01-11 08:00:00,resolved,yes,2023-01-11 06:00:00,Medium,Tumkur Road,North Zone,SilkBoardJunction,Cubbon Park,2023-01-11 06:00:00,4,Bengaluru Central Corporation,KG41,,,,,,,,,,,,,,,,,,,,,,,,
FKID000042,planned,13.22998626340361,77.58105311485416,event,False,2023-01-11 12:00:00,2023-01-11 14:00:00,2023-01-11 13:30:00,2023-01-11 14:00:00,resolved,yes,2023-01-11 12:00:00,Medium,Hosur Road,Central Zone 1,MarathahalliBridge,Cubbon Park,2023-01-11 12:00:00,4,Bengaluru Central Corporation,KG42,,,,,,,,,,,,,,,,,,,,,,,,
FKID000043,unplanned,12.97397458912006,77.58007337970807,event,False,2023-01-11 18:00:00,2023-01-11 20:00:00,2023-01-11 19:30:00,2023-01-11 20:00:00,resolved,yes,2023-01-11 18:00:00,Low,Mysore Road,North Zone,SilkBoardJunction,Cubbon Park,2023-01-11 18:00:00,4,,KG43,,,,,,,,,,,,,,,,,,,,,,,,
FKID000044,unplanned,12.807264609768568,77.69945588315953,event,True,2023-01-12 00:00:00,2023-01-12 02:00:00,2023-01-12 01:30:00,2023-01-12 02:00:00,resolved,yes,2023-01-12 00:00:00,Medium,NH 44,West Zone,UrvashiJunction,Cubbon Park,2023-01-12 00:00:00,4,Bengaluru Central Corporation,KG44,,,,,,,,,,,,,,,,,,,,,,,,
FKID000045,unplanned,13.23630972441623,77.73575711589365,construction,False,2023-01-12 06:00:00,2023-01-12 08:00:00,2023-01-12 07:30:00,2023-01-12 08:00:00,resolved,yes,2023-01-12 06:00:00,High,NH 44,Central Zone 2,MekhriCircle,Cubbon Park,2023-01-12 06:00:00,4,,KG45,,,,,,,,,,,,,,,,,,,,,,,,
FKID000046,unplanned,13.001246549709139,77.74622028723218,breakdown,False,2023-01-12 12:00:00,2023-01-12 14:00:00,2023-01-12 13:30:00,2023-01-12 14:00:00,resolved,yes,2023-01-12 12:00:00,High,Mysore Road,Central Zone 2,UrvashiJunction,Cubbon Park,2023-01-12 12:00:00,1,,KG46,,,,,,,,,,,,,,,,,,,,,,,,
FKID000047,unplanned,13.254327764950524,77.68341211001992,breakdown,False,2023-01-12 18:00:00,2023-01-12 20:00:00,2023-01-12 19:30:00,2023-01-12 20:00:00,resolved,yes,2023-01-12 18:00:00,Low,Tumkur Road,Central Zone 2,,Cubbon Park,2023-01-12 18:00:00,3,Bengaluru Central Corporation,KG47,,,,,,,,,,,,,,,,,,,,,,,,
FKID000048,unplanned,13.252901389231948,77.58159008809335,breakdown,False,2023-01-13 00:00:00,2023-01-13 02:00:00,2023-01-13 01:30:00,2023-01-13 02:00:00,resolved,yes,2023-01-13 00:00:00,Low,Mysore Road,Central Zone 2,UrvashiJunction,Cubbon Park,2023-01-13 00:00:00,2,,KG48,,,,,,,,,,,,,,,,,,,,,,,,
FKID000049,unplanned,13.200914444069658,77.50254519350864,construction,False,2023-01-13 06:00:00,2023-01-13 08:00:00,2023-01-13 07:30:00,2023-01-13 08:00:00,resolved,yes,2023-01-13 06:00:00,Medium,Tumkur Road,Central Zone 2,,Cubbon Park,2023-01-13 06:00:00,4,,KG49,,,,,,,,,,,,,,,,,,,,,,,,
FKID000050,unplanned,12.938390979272706,77.68982966730042,event,True,2023-01-13 12:00:00,2023-01-13 14:00:00,2023-01-13 13:30:00,2023-01-13 14:00:00,resolved,yes,2023-01-13 12:00:00,Medium,Mysore Road,Central Zone 2,SilkBoardJunction,Cubbon Park,2023-01-13 12:00:00,2,Bengaluru Central Corporation,KG50,,,,,,,,,,,,,,,,,,,,,,,,
FKID000051,unplanned,12.980995932442905,77.63076914742867,breakdown,False,2023-01-13 18:00:00,2023-01-13 20:00:00,2023-01-13 19:30:00,2023-01-13 20:00:00,resolved,yes,2023-01-13 18:00:00,Medium,Mysore Road,Central Zone 2,MekhriCircle,Cubbon Park,2023-01-13 18:00:00,1,,KG51,,,,,,,,,,,,,,,,,,,,,,,,
FKID000052,unplanned,13.200034235612922,77.59453994249668,construction,False,2023-01-14 00:00:00,2023-01-14 02:00:00,2023-01-14 01:30:00,2023-01-14 02:00:00,resolved,yes,2023-01-14 00:00:00,High,Outer Ring Road,West Zone,SilkBoardJunction,Cubbon Park,2023-01-14 00:00:00,4,Bengaluru Central Corporation,KG52,,,,,,,,,,,,,,,,,,,,,,,,
FKID000053,unplanned,12.94895334242345,77.72471568397557,breakdown,False,2023-01-14 06:00:00,2023-01-14 08:00:00,2023-01-14 07:30:00,2023-01-14 08:00:00,resolved,yes,2023-01-14 06:00:00,Low,NH 44,Central Zone 1,HebbalFlyover,Cubbon Park,2023-01-14 06:00:00,3,Bengaluru Central Corporation,KG53,,,,,,,,,,,,,,,,,,,,,,,,
FKID000054,unplanned,12.879661590942463,77.51002332022266,accident,True,2023-01-14 12:00:00,2023-01-14 14:00:00,2023-01-14 13:30:00,2023-01-14 14:00:00,resolved,yes,2023-01-14 12:00:00,Medium,Mysore Road,East Zone,SilkBoardJunction,Cubbon Park,2023-01-14 12:00:00,2,Bengaluru Central Corporation,KG54,,,,,,,,,,,,,,,,,,,,,,,,
FKID000055,unplanned,13.061696593355425,77.61300877815853,breakdown,False,2023-01-14 18:00:00,2023-01-14 20:00:00,2023-01-14 19:30:00,2023-01-14 20:00:00,resolved,yes,2023-01-14 18:00:00,Medium,Mysore Road,North Zone,,Cubbon Park,2023-01-14 18:00:00,4,Bengaluru Central Corporation,KG55,,,,,,,,,,,,,,,,,,,,,,,,
FKID000056,planned,13.239992743855566,77.4830654840872,breakdown,False,2023-01-15 00:00:00,2023-01-15 02:00:00,2023-01-15 01:30:00,2023-01-15 02:00:00,resolved,yes,2023-01-15 00:00:00,Medium,Hosur Road,East Zone,SilkBoardJunction,Cubbon Park,2023-01-15 00:00:00,1,,KG56,,,,,,,,,,,,,,,,,,,,,,,,
FKID000057,unplanned,13.127134004437238,77.60653837333841,event,False,2023-01-15 06:00:00,2023-01-15 08:00:00,2023-01-15 07:30:00,2023-01-15 08:00:00,resolved,yes,2023-01-15 06:00:00,High,NH 44,East Zone,SilkBoardJunction,Cubbon Park,2023-01-15 06:00:00,3,Bengaluru Central Corporation,KG57,,,,,,,,,,,,,,,,,,,,,,,,
FKID000058,planned,13.067928749942002,77.4952018844341,construction,False,2023-01-15 12:00:00,2023-01-15 14:00:00,2023-01-15 13:30:00,2023-01-15 14:00:00,resolved,yes,2023-01-15 12:00:00,High,Hosur Road,Central Zone 1,MekhriCircle,Cubbon Park,2023-01-15 12:00:00,2,Bengaluru Central Corporation,KG58,,,,,,,,,,,,,,,,,,,,,,,,
FKID000059,unplanned,12.845672952072261,77.51208083739239,event,False,2023-01-15 18:00:00,2023-01-15 20:00:00,2023-01-15 19:30:00,2023-01-15 20:00:00,resolved,yes,2023-01-15 18:00:00,Low,NH 44,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-15 18:00:00,2,,KG59,,,,,,,,,,,,,,,,,,,,,,,,
FKID000060,unplanned,13.08905339654861,77.51173208662982,event,True,2023-01-16 00:00:00,2023-01-16 02:00:00,2023-01-16 01:30:00,2023-01-16 02:00:00,resolved,yes,2023-01-16 00:00:00,High,Hosur Road,Central Zone 1,MekhriCircle,Cubbon Park,2023-01-16 00:00:00,4,Bengaluru Central Corporation,KG60,,,,,,,,,,,,,,,,,,,,,,,,
FKID000061,unplanned,13.265325309549004,77.65528678157133,event,False,2023-01-16 06:00:00,2023-01-16 08:00:00,2023-01-16 07:30:00,2023-01-16 08:00:00,resolved,yes,2023-01-16 06:00:00,Medium,Mysore Road,Central Zone 2,MarathahalliBridge,Cubbon Park,2023-01-16 06:00:00,3,Bengaluru Central Corporation,KG61,,,,,,,,,,,,,,,,,,,,,,,,
FKID000062,unplanned,12.865839487161168,77.68143211740167,event,True,2023-01-16 12:00:00,2023-01-16 14:00:00,2023-01-16 13:30:00,2023-01-16 14:00:00,resolved,yes,2023-01-16 12:00:00,Medium,Mysore Road,West Zone,HebbalFlyover,Cubbon Park,2023-01-16 12:00:00,3,,KG62,,,,,,,,,,,,,,,,,,,,,,,,
FKID000063,unplanned,13.043614936610956,77.63750956657624,event,False,2023-01-16 18:00:00,2023-01-16 20:00:00,2023-01-16 19:30:00,2023-01-16 20:00:00,resolved,yes,2023-01-16 18:00:00,Medium,Outer Ring Road,Central Zone 2,MekhriCircle,Cubbon Park,2023-01-16 18:00:00,3,,KG63,,,,,,,,,,,,,,,,,,,,,,,,
FKID000064,unplanned,13.21236534380614,77.73978658808812,breakdown,True,2023-01-17 00:00:00,2023-01-17 02:00:00,2023-01-17 01:30:00,2023-01-17 02:00:00,resolved,yes,2023-01-17 00:00:00,Medium,Hosur Road,West Zone,,Cubbon Park,2023-01-17 00:00:00,3,,KG64,,,,,,,,,,,,,,,,,,,,,,,,
FKID000065,unplanned,13.148161250344476,77.58121505647141,event,False,2023-01-17 06:00:00,2023-01-17 08:00:00,2023-01-17 07:30:00,2023-01-17 08:00:00,resolved,yes,2023-01-17 06:00:00,Medium,Tumkur Road,West Zone,MarathahalliBridge,Cubbon Park,2023-01-17 06:00:00,1,,KG65,,,,,,,,,,,,,,,,,,,,,,,,
FKID000066,unplanned,13.127597398267776,77.5571422632961,event,False,2023-01-17 12:00:00,2023-01-17 14:00:00,2023-01-17 13:30:00,2023-01-17 14:00:00,resolved,yes,2023-01-17 12:00:00,Low,Outer Ring Road,East Zone,MekhriCircle,Cubbon Park,2023-01-17 12:00:00,3,,KG66,,,,,,,,,,,,,,,,,,,,,,,,
FKID000067,unplanned,13.130167519473941,77.71452176461115,construction,False,2023-01-17 18:00:00,2023-01-17 20:00:00,2023-01-17 19:30:00,2023-01-17 20:00:00,resolved,yes,2023-01-17 18:00:00,Medium,Hosur Road,East Zone,MekhriCircle,Cubbon Park,2023-01-17 18:00:00,2,,KG67,,,,,,,,,,,,,,,,,,,,,,,,
FKID000068,planned,12.968960841073285,77.54037087640026,accident,False,2023-01-18 00:00:00,2023-01-18 02:00:00,2023-01-18 01:30:00,2023-01-18 02:00:00,resolved,yes,2023-01-18 00:00:00,Medium,Hosur Road,West Zone,HebbalFlyover,Cubbon Park,2023-01-18 00:00:00,2,,KG68,,,,,,,,,,,,,,,,,,,,,,,,
FKID000069,unplanned,12.937988166804312,77.74007008564897,breakdown,False,2023-01-18 06:00:00,2023-01-18 08:00:00,2023-01-18 07:30:00,2023-01-18 08:00:00,resolved,yes,2023-01-18 06:00:00,Medium,Outer Ring Road,West Zone,,Cubbon Park,2023-01-18 06:00:00,1,Bengaluru Central Corporation,KG69,,,,,,,,,,,,,,,,,,,,,,,,
FKID000070,unplanned,13.1803997430749,77.48328170816626,breakdown,True,2023-01-18 12:00:00,2023-01-18 14:00:00,2023-01-18 13:30:00,2023-01-18 14:00:00,resolved,yes,2023-01-18 12:00:00,Medium,Mysore Road,Central Zone 2,UrvashiJunction,Cubbon Park,2023-01-18 12:00:00,2,,KG70,,,,,,,,,,,,,,,,,,,,,,,,
FKID000071,unplanned,13.180753295499215,77.74186728321106,breakdown,False,2023-01-18 18:00:00,2023-01-18 20:00:00,2023-01-18 19:30:00,2023-01-18 20:00:00,resolved,yes,2023-01-18 18:00:00,Low,Hosur Road,Central Zone 2,UrvashiJunction,Cubbon Park,2023-01-18 18:00:00,2,,KG71,,,,,,,,,,,,,,,,,,,,,,,,
