id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,end_source,clearance_mins,log_clearance,hour,day_of_week,month,is_weekend,priority_encoded,is_planned,closure_int,junction_event_count,junction_closure_rate,junction_hist_clearance,corridor_event_count,corridor_closure_rate,zone_event_count,is_known_junction,event_cause_cat,veh_type_cat,police_station_cat,pred_closure_prob,impact_score,impact_tier
FKID000053,unplanned,12.9849833,77.5883633,0.0,0.0,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,vehicle_breakdown,False,2024-01-30 21:47:40.463000+00:00,,closed,yes,2024-01-30 22:57:00.256145+00,,,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,FKN00GL0019,Bellary Road 1,High,,,,2024-01-30 21:51:46.251707+00,,1,FKUSR00044,FKUSR00001,,,,High ground,,FKKG000038,,,,FKUSR00044,2024-01-30 22:57:00.255562+00:00,,,,,,closed,69.32987603333332,4.253196687675594,21,1,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,158.0,0.06962025316455696,0.0,0,vehicle_breakdown,private_car,High ground,0.11736592,3.2,LOW
FKID000055,unplanned,12.9842019,77.7336286,0.0,0.0,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,road_conditions,False,2024-01-30 21:54:56.083000+00:00,,closed,yes,2024-01-30 22:56:12.701767+00,,,,,,Non-corridor,Low,,,,2024-01-30 21:55:49.646644+00,,1,FKUSR00046,FKUSR00001,,,,Whitefield,,FKKG000040,,,,FKUSR00046,2024-01-30 22:56:12.701247+00:00,,,,,,closed,61.27697078333333,4.131591707108097,21,1,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,road_conditions,nan,Whitefield,0.13964358,2.3,LOW
FKID000057,unplanned,12.9848257,77.7527586,0.0,0.0,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,vehicle_breakdown,False,2024-01-30 22:06:02.276000+00:00,,closed,yes,2024-01-30 22:42:27.016787+00,,,Gear jam not moving traffic slow moving,private_car,FKN00GL0022,Non-corridor,Low,,,,2024-01-30 22:07:20.927778+00,,1,FKUSR00048,FKUSR00001,,,,Mahadevapura,,FKKG000042,,,,FKUSR00048,2024-01-30 22:42:27.016248+00:00,,,,,,closed,36.41233746666667,3.6220005288103208,22,1,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,vehicle_breakdown,private_car,Mahadevapura,0.026790317,1.7,LOW
FKID000061,unplanned,12.9368467,77.6928653,0.0,0.0,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,vehicle_breakdown,False,2024-01-30 23:05:02.339000+00:00,,resolved,yes,2024-01-30 23:15:33.148666+00,,,Kadubisanahalli toward devarabisnahalli car starting problem,private_car,FKN00GL0023,ORR East 1,High,,,,2024-01-30 23:06:09.103789+00,,1,FKUSR00049,FKUSR00001,,,,HAL Old Airport,,FKKG000043,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.9368467,77.6928653,,,FKUSR00049,2024-01-30 23:15:33.148168+00:00,,,,resolved,10.513486133333334,2.4435190555315516,23,1,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,64.0,0.0625,0.0,0,vehicle_breakdown,private_car,HAL Old Airport,0.0061417324,2.6,LOW
FKID000063,unplanned,12.9513113,77.4994888,0.0,0.0,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,vehicle_breakdown,False,2024-01-30 23:12:23.123000+00:00,,closed,yes,2024-01-31 00:35:36.783183+00,,,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0024,Non-corridor,Low,,,,2024-01-30 23:14:11.203391+00,,1,FKUSR00007,FKUSR00001,,,,Jnanabharathi,,FKKG000004,,,,FKUSR00007,2024-01-31 00:35:36.782614+00:00,,,,,,closed,83.22766023333334,4.433523373636015,23,1,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,vehicle_breakdown,bmtc_bus,Jnanabharathi,0.23438479,2.8,LOW
FKID000066,unplanned,12.9165983,77.583705,0.0,0.0,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",,tree_fall,False,2024-03-07 20:58:06.297000+00:00,,closed,yes,2024-03-08 02:19:20.588574+00,,,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,,,Non-corridor,Low,,,,2024-03-07 20:59:18.285194+00,,1,FKUSR00051,FKUSR00001,,,,J.P. Nagar,,FKKG000045,,,,FKUSR00051,2024-03-08 02:19:20.587942+00:00,,,,,,closed,321.23818236666665,5.775290968894462,20,3,3,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,J.P. Nagar,0.004754207,1.5,LOW
FKID000069,unplanned,12.9740913,77.5452252,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,vehicle_breakdown,False,2024-01-31 00:33:27.663000+00:00,,closed,no,2024-01-31 01:17:38.964911+00,,,Vehicle movment very slow,bmtc_bus,FKN00GL0026,West of Chord Road,High,,,,2024-01-31 00:34:11.984483+00,,1,FKUSR00053,FKUSR00001,,,,Vijayanagara,,FKKG000047,,,,FKUSR00053,2024-01-31 01:17:38.964363+00:00,,,,,,closed,44.18835605,3.810839444137881,0,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,36.0,0.08333333333333333,0.0,0,vehicle_breakdown,bmtc_bus,Vijayanagara,0.0078427065,2.6,LOW
FKID000070,unplanned,12.9740971,77.5449011,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,vehicle_breakdown,False,2024-01-31 00:36:02.277000+00:00,,closed,yes,2024-01-31 01:17:50.143185+00,,,,bmtc_bus,FKN00GL0026,West of Chord Road,High,,,,2024-01-31 00:37:29.633418+00,,1,FKUSR00054,FKUSR00001,,,,Vijayanagara,,FKKG000048,,,,FKUSR00054,2024-01-31 01:17:50.142637+00:00,,,,,,closed,41.797760616666665,3.7564857791784068,0,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,36.0,0.08333333333333333,0.0,0,vehicle_breakdown,bmtc_bus,Vijayanagara,0.0078427065,2.6,LOW
FKID000071,unplanned,12.9688926,77.569795,0.0,0.0,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",,vehicle_breakdown,False,2024-01-31 01:24:44.373000+00:00,,closed,no,2024-01-31 01:50:53.885413+00,,,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",auto,FKN00GL0027,Non-corridor,Low,,,,2024-01-31 01:27:32.617672+00,,1,FKUSR00055,FKUSR00001,,,,Chamarajpet,,FKKG000049,,,,FKUSR00055,2024-01-31 01:50:53.884849+00:00,,,,,,closed,26.158530816666666,3.3016912075847697,1,2,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,vehicle_breakdown,auto,Chamarajpet,0.046083346,1.8,LOW
FKID000080,unplanned,12.9449039,77.4949618,0.0,0.0,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,others,False,2024-03-07 21:25:26.425000+00:00,,closed,yes,2024-03-07 21:41:19.773221+00,,,bmtc bus offroad in front of adishakti temple,,,Non-corridor,Low,,,,2024-03-07 21:26:42.075291+00,,1,FKUSR00063,FKUSR00001,,,,Jnanabharathi,,FKKG000057,,,,FKUSR00063,2024-03-07 21:41:19.772509+00:00,,,,,,closed,15.88912515,2.8266699325569467,21,3,3,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,others,nan,Jnanabharathi,0.01851327,1.6,LOW
FKID000081,unplanned,12.9873133,77.6163481,0.0,0.0,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",,tree_fall,False,2024-03-07 21:17:00.312000+00:00,,closed,no,2024-03-07 23:13:49.215038+00,,,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,,,Non-corridor,Low,,,,2024-03-07 21:18:56.020966+00,,1,FKUSR00064,FKUSR00001,,,,Pulikeshinagar(F.Town),,FKKG000058,,,,FKUSR00064,2024-03-07 23:13:49.030632+00:00,,,,,,closed,116.8119772,4.769089940072802,21,3,3,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,Pulikeshinagar(F.Town),0.03056596,1.7,LOW
FKID000082,planned,12.969418,77.7006526,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-03-07 21:23:16.629000+00:00,2024-03-08 10:05:46+00:00,closed,yes,2024-03-08 10:35:48.497372+00,,,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,,,ORR East 2,High,,,,2024-03-07 21:25:40.927133+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,,end,762.4895166666666,6.6378993939379205,21,3,3,0,2,1,0,0.0,0.07664066085360258,120.36434781307175,94.0,0.010638297872340425,0.0,0,construction,nan,HAL Old Airport,0.0124255,3.6,MODERATE
FKID000086,unplanned,12.8482637,77.6713737,0.0,0.0,"4th Main Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",,vehicle_breakdown,False,2024-01-31 02:47:16.032000+00:00,,closed,yes,2024-01-31 04:10:44.744975+00,,,Lgv breake down veersandar to [LOCATION] near ec 1,lcv,FKN00GL0033,Non-corridor,Low,,,,2024-01-31 02:48:28.817704+00,,1,FKUSR00067,FKUSR00001,,,,Electronic City,,FKKG000061,,,,FKUSR00067,2024-01-31 04:10:44.744402+00:00,,,,,,closed,83.47854003333333,4.43649753800622,2,2,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,vehicle_breakdown,lcv,Electronic City,0.00074984547,1.5,LOW
FKID000087,unplanned,12.96672,77.6093294,0.0,0.0,"Richmond Road, Mother Teresa Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",,vehicle_breakdown,False,2024-01-31 05:03:24.794000+00:00,,closed,yes,2024-01-31 05:56:09.889145+00,,,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,bmtc_bus,FKN00GL0034,Mysore Road,High,,,,2024-01-31 05:04:44.117365+00,,1,FKUSR00068,FKUSR00001,,,,Ashok Nagar,,FKKG000062,,,,FKUSR00068,2024-01-31 05:56:09.888569+00:00,,,,,,closed,52.75157615,3.9843729902987706,5,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,244.0,0.0942622950819672,0.0,0,vehicle_breakdown,bmtc_bus,Ashok Nagar,0.029080605,2.7,LOW
FKID000088,unplanned,13.0253205,77.6400845,0.0,0.0,"5th A Cross Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,vehicle_breakdown,False,2024-03-07 21:35:50.715000+00:00,,closed,yes,2024-03-07 22:50:40.247777+00,,,front wheel tyre burst,private_bus,FKN00GL0035,ORR North 1,High,,,,2024-03-07 21:36:46.339775+00,,1,FKUSR00069,FKUSR00001,,,,Banaswadi,,FKKG000063,,,,FKUSR00069,2024-03-07 22:50:40.247224+00:00,,,,,,closed,74.82553706666666,4.328435136525711,21,3,3,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,60.0,0.08333333333333333,0.0,0,vehicle_breakdown,private_bus,Banaswadi,0.00063678843,2.5,LOW
FKID000093,unplanned,12.9480512,77.5343585,0.0,0.0,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",,vehicle_breakdown,False,2024-01-31 04:21:01.833000+00:00,,closed,yes,2024-01-31 05:08:43.227836+00,,,Nayadahallie towards BHEL incoming side traffic no problem,heavy_vehicle,FKN00GL0039,Mysore Road,High,,,,2024-01-31 04:22:16.818647+00,,1,FKUSR00074,FKUSR00001,,,,Byatarayanapura,,FKKG000068,,,,FKUSR00074,2024-01-31 05:08:43.227334+00:00,,,,,,closed,47.68990556666667,3.885471730711658,4,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,244.0,0.0942622950819672,0.0,0,vehicle_breakdown,heavy_vehicle,Byatarayanapura,0.019622138,2.6,LOW
FKID000095,unplanned,13.0078566,77.5920655,0.0,0.0,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",,tree_fall,False,2024-03-07 21:47:02.800000+00:00,,closed,no,2024-03-07 21:55:40.011444+00,,,tv tower tree falling,,,Non-corridor,Low,,,,2024-03-07 21:47:53.871405+00,,1,FKUSR00076,FKUSR00076,,,,R.T. Nagar,,FKKG000070,,,,FKUSR00076,2024-03-07 21:55:40.010876+00:00,,,,,,closed,8.620181266666666,2.2638631071889366,21,3,3,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,R.T. Nagar,0.36532736,3.5,MODERATE
FKID000107,unplanned,12.9238693,77.5536044,0.0,0.0,"Dr Rajkumar Puniya Bhoomi Road, Block 5 Phase 3, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",,vehicle_breakdown,False,2024-01-31 05:41:26.253000+00:00,,closed,no,2024-01-31 08:02:27.928621+00,,,Vehicle off road @ [PERSON] due to clutch problem,others,FKN00GL0043,ORR West 1,High,,,,2024-01-31 05:44:24.310732+00,,1,FKUSR00085,FKUSR00001,,,,Banashankari,,FKKG000079,,,,FKUSR00085,2024-01-31 08:02:27.928046+00:00,,,,,,closed,141.02791743333333,4.956023639920883,5,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,55.0,0.0,0.0,0,vehicle_breakdown,others,Banashankari,0.000115867064,2.5,LOW
FKID000113,unplanned,13.0331905,77.5901915,0.0,0.0,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,construction,False,2024-03-07 22:40:56.720000+00:00,,closed,no,2024-03-08 07:46:19.124746+00,,,keb cable work @anand [PERSON],,,Bellary Road 1,High,,,,2024-03-07 22:41:58.865738+00,,1,FKUSR00089,FKUSR00001,,,,Hebbala,,FKKG000083,,,,FKUSR00089,2024-03-08 07:46:19.124181+00:00,,,,,,closed,545.3734030166667,6.303302630308773,22,3,3,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,158.0,0.06962025316455696,0.0,0,construction,nan,Hebbala,0.021590127,2.6,LOW
FKID000122,unplanned,12.9392829,77.5596125,12.9393012,77.5597402,"5th Cross Road, 2nd Block, Ashok Nagar, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)","5th Cross Road, 2nd Block, Ashok Nagar, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)",tree_fall,True,2024-03-07 23:06:49.704000+00:00,,closed,no,2024-03-08 00:08:37.382269+00,,,bbmp tree cut maduvaru bandiruttare sir.,,,Non-corridor,Low,,,,2024-03-07 23:09:20.575174+00,,1,FKUSR00097,FKUSR00001,,,,Basavanagudi,,FKKG000091,,,,FKUSR00097,2024-03-08 00:08:37.381719+00:00,,,,,,closed,61.79462865,4.1398695387652085,23,3,3,0,0,0,1,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,Basavanagudi,0.98898554,7.0,HIGH
FKID000123,unplanned,12.9614398,77.5600867,0.0,0.0,"BGS Flyover, Mariyamma Layout, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",,vehicle_breakdown,False,2024-01-31 08:57:24.573000+00:00,,closed,yes,2024-01-31 10:39:45.991893+00,,,heat,lcv,FKN00GL0050,Mysore Road,High,,,,2024-01-31 08:58:24.324977+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-01-31 10:39:45.991392+00:00,,,,,,closed,102.3569732,4.638188755549778,8,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,244.0,0.0942622950819672,0.0,0,vehicle_breakdown,lcv,Chamarajpet,0.00752758,2.6,LOW
FKID000131,unplanned,13.114305,77.60655,0.0,0.0,"Bellary Road, SN Halli, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",,vehicle_breakdown,False,2024-01-31 20:34:20.329000+00:00,,closed,no,2024-01-31 22:16:52.647372+00,,,[LOCATION] onflyover to wards airport hgv lary tyer bust sir,heavy_vehicle,FKN00GL0052,Bellary Road 2,High,,,,2024-01-31 20:35:01.334708+00,,1,FKUSR00105,FKUSR00001,,,,Yelahanka,,FKKG000099,,,,FKUSR00105,2024-01-31 22:16:52.605981+00:00,,,,,,closed,102.53794968333334,4.639938209107836,20,2,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,113.0,0.04424778761061947,0.0,0,vehicle_breakdown,heavy_vehicle,Yelahanka,0.0029043977,2.5,LOW
