location,group_type,event_a,event_b,overlap_start,overlap_end,overlap_min,closures_in_pair,cascade_risk
Bannerghata Road,corridor,FKID006840,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:16:48.804000,47.9,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:16:48.804000,47.5,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:16:48.804000,46.7,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:16:48.804000,46.2,0,3.2
Bannerghata Road,corridor,FKID006840,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:16:48.804000,45.6,0,3.1
Bannerghata Road,corridor,FKID006840,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:16:48.804000,40.2,0,3.0
Bannerghata Road,corridor,FKID006840,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:16:48.804000,30.8,0,2.8
Bannerghata Road,corridor,FKID006840,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:16:48.804000,30.0,0,2.7
Bannerghata Road,corridor,FKID006840,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:16:48.804000,29.5,0,2.7
Bannerghata Road,corridor,FKID006840,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:16:48.804000,28.7,0,2.7
Bannerghata Road,corridor,FKID006840,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:16:48.804000,27.6,0,2.7
Bannerghata Road,corridor,FKID006840,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:16:48.804000,24.1,0,2.6
Bannerghata Road,corridor,FKID006840,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:16:48.804000,22.3,0,2.6
Bannerghata Road,corridor,FKID006840,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:16:48.804000,20.1,0,2.5
Bannerghata Road,corridor,FKID006840,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:16:48.804000,19.5,0,2.5
Bannerghata Road,corridor,FKID006840,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:16:48.804000,17.5,0,2.4
Bannerghata Road,corridor,FKID001976,FKID006842,2023-12-15 22:22:58.958000,2023-12-15 23:17:45.047000,54.8,0,3.4
Bannerghata Road,corridor,FKID001976,FKID005299,2023-12-15 22:23:21.244000,2023-12-15 23:17:45.047000,54.4,0,3.4
Bannerghata Road,corridor,FKID001976,FKID005300,2023-12-15 22:24:26.998000,2023-12-15 23:17:45.047000,53.3,0,3.3
Bannerghata Road,corridor,FKID001976,FKID006855,2023-12-15 22:24:57.730000,2023-12-15 23:17:45.047000,52.8,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:17:45.047000,52.8,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:17:45.047000,52.5,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:17:45.047000,51.6,0,3.3
Bannerghata Road,corridor,FKID001976,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:17:45.047000,51.2,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:17:45.047000,50.8,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:17:45.047000,50.2,0,3.3
Bannerghata Road,corridor,FKID001976,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:17:45.047000,49.7,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:17:45.047000,49.3,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:17:45.047000,48.9,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:17:45.047000,48.4,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:17:45.047000,47.6,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:17:45.047000,47.2,0,3.2
Bannerghata Road,corridor,FKID001976,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:17:45.047000,46.5,0,3.2
Bannerghata Road,corridor,FKID001976,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:17:45.047000,41.1,0,3.0
Bannerghata Road,corridor,FKID001976,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:17:45.047000,31.8,0,2.8
Bannerghata Road,corridor,FKID001976,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:17:45.047000,30.9,0,2.8
Bannerghata Road,corridor,FKID001976,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:17:45.047000,30.4,0,2.8
Bannerghata Road,corridor,FKID001976,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:17:45.047000,29.7,0,2.7
Bannerghata Road,corridor,FKID001976,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:17:45.047000,28.6,0,2.7
Bannerghata Road,corridor,FKID001976,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:17:45.047000,25.1,0,2.6
Bannerghata Road,corridor,FKID001976,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:17:45.047000,23.3,0,2.6
Bannerghata Road,corridor,FKID001976,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:17:45.047000,21.1,0,2.5
Bannerghata Road,corridor,FKID001976,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:17:45.047000,20.4,0,2.5
Bannerghata Road,corridor,FKID001976,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:17:45.047000,18.5,0,2.5
Bannerghata Road,corridor,FKID006842,FKID005299,2023-12-15 22:23:21.244000,2023-12-15 23:22:58.958000,59.6,0,3.5
Bannerghata Road,corridor,FKID006842,FKID005300,2023-12-15 22:24:26.998000,2023-12-15 23:22:58.958000,58.5,0,3.5
Bannerghata Road,corridor,FKID006842,FKID006855,2023-12-15 22:24:57.730000,2023-12-15 23:22:58.958000,58.0,0,3.5
Bannerghata Road,corridor,FKID006842,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:22:58.958000,58.0,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:22:58.958000,57.7,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:22:58.958000,56.8,0,3.4
Bannerghata Road,corridor,FKID006842,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:22:58.958000,56.4,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:22:58.958000,56.0,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:22:58.958000,55.4,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:22:58.958000,54.9,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:22:58.958000,54.5,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:22:58.958000,54.1,0,3.4
Bannerghata Road,corridor,FKID006842,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:22:58.958000,53.7,0,3.3
Bannerghata Road,corridor,FKID006842,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:22:58.958000,52.8,0,3.3
Bannerghata Road,corridor,FKID006842,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:22:58.958000,52.4,0,3.3
Bannerghata Road,corridor,FKID006842,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:22:58.958000,51.7,0,3.3
Bannerghata Road,corridor,FKID006842,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:22:58.958000,46.4,0,3.2
Bannerghata Road,corridor,FKID006842,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:22:58.958000,37.0,0,2.9
Bannerghata Road,corridor,FKID006842,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:22:58.958000,36.2,0,2.9
Bannerghata Road,corridor,FKID006842,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:22:58.958000,35.7,0,2.9
Bannerghata Road,corridor,FKID006842,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:22:58.958000,34.9,0,2.9
Bannerghata Road,corridor,FKID006842,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:22:58.958000,33.8,0,2.8
Bannerghata Road,corridor,FKID006842,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:22:58.958000,30.3,0,2.8
Bannerghata Road,corridor,FKID006842,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:22:58.958000,28.5,0,2.7
Bannerghata Road,corridor,FKID006842,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:22:58.958000,26.3,0,2.7
Bannerghata Road,corridor,FKID006842,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:22:58.958000,25.7,0,2.6
Bannerghata Road,corridor,FKID006842,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:22:58.958000,23.7,0,2.6
Bannerghata Road,corridor,FKID005299,FKID005300,2023-12-15 22:24:26.998000,2023-12-15 23:23:21.244000,58.9,0,3.5
Bannerghata Road,corridor,FKID005299,FKID006855,2023-12-15 22:24:57.730000,2023-12-15 23:23:21.244000,58.4,0,3.5
Bannerghata Road,corridor,FKID005299,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:23:21.244000,58.4,0,3.5
Bannerghata Road,corridor,FKID005299,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:23:21.244000,58.1,0,3.5
Bannerghata Road,corridor,FKID005299,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:23:21.244000,57.2,0,3.4
Bannerghata Road,corridor,FKID005299,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:23:21.244000,56.8,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:23:21.244000,56.4,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:23:21.244000,55.8,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:23:21.244000,55.3,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:23:21.244000,54.9,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:23:21.244000,54.5,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:23:21.244000,54.0,0,3.4
Bannerghata Road,corridor,FKID005299,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:23:21.244000,53.2,0,3.3
Bannerghata Road,corridor,FKID005299,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:23:21.244000,52.8,0,3.3
Bannerghata Road,corridor,FKID005299,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:23:21.244000,52.1,0,3.3
Bannerghata Road,corridor,FKID005299,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:23:21.244000,46.8,0,3.2
Bannerghata Road,corridor,FKID005299,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:23:21.244000,37.4,0,2.9
Bannerghata Road,corridor,FKID005299,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:23:21.244000,36.5,0,2.9
Bannerghata Road,corridor,FKID005299,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:23:21.244000,36.0,0,2.9
Bannerghata Road,corridor,FKID005299,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:23:21.244000,35.3,0,2.9
Bannerghata Road,corridor,FKID005299,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:23:21.244000,34.2,0,2.9
Bannerghata Road,corridor,FKID005299,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:23:21.244000,30.7,0,2.8
Bannerghata Road,corridor,FKID005299,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:23:21.244000,28.9,0,2.7
Bannerghata Road,corridor,FKID005299,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:23:21.244000,26.7,0,2.7
Bannerghata Road,corridor,FKID005299,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:23:21.244000,26.0,0,2.7
Bannerghata Road,corridor,FKID005299,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:23:21.244000,24.1,0,2.6
Bannerghata Road,corridor,FKID005300,FKID006855,2023-12-15 22:24:57.730000,2023-12-15 23:24:26.998000,59.5,0,3.5
Bannerghata Road,corridor,FKID005300,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:24:26.998000,59.4,0,3.5
Bannerghata Road,corridor,FKID005300,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:24:26.998000,59.2,0,3.5
Bannerghata Road,corridor,FKID005300,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:24:26.998000,58.3,0,3.5
Bannerghata Road,corridor,FKID005300,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:24:26.998000,57.9,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:24:26.998000,57.5,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:24:26.998000,56.9,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:24:26.998000,56.4,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:24:26.998000,56.0,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:24:26.998000,55.5,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:24:26.998000,55.1,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:24:26.998000,54.3,0,3.4
Bannerghata Road,corridor,FKID005300,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:24:26.998000,53.9,0,3.3
Bannerghata Road,corridor,FKID005300,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:24:26.998000,53.2,0,3.3
Bannerghata Road,corridor,FKID005300,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:24:26.998000,47.8,0,3.2
Bannerghata Road,corridor,FKID005300,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:24:26.998000,38.5,0,3.0
Bannerghata Road,corridor,FKID005300,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:24:26.998000,37.6,0,2.9
Bannerghata Road,corridor,FKID005300,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:24:26.998000,37.1,0,2.9
Bannerghata Road,corridor,FKID005300,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:24:26.998000,36.4,0,2.9
Bannerghata Road,corridor,FKID005300,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:24:26.998000,35.3,0,2.9
Bannerghata Road,corridor,FKID005300,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:24:26.998000,31.8,0,2.8
Bannerghata Road,corridor,FKID005300,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:24:26.998000,30.0,0,2.7
Bannerghata Road,corridor,FKID005300,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:24:26.998000,27.8,0,2.7
Bannerghata Road,corridor,FKID005300,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:24:26.998000,27.1,0,2.7
Bannerghata Road,corridor,FKID005300,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:24:26.998000,25.2,0,2.6
Bannerghata Road,corridor,FKID006855,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:24:57.730000,60.0,0,3.5
Bannerghata Road,corridor,FKID006855,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:24:57.730000,59.7,0,3.5
Bannerghata Road,corridor,FKID006855,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:24:57.730000,58.8,0,3.5
Bannerghata Road,corridor,FKID006855,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:24:57.730000,58.4,0,3.5
Bannerghata Road,corridor,FKID006855,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:24:57.730000,58.0,0,3.5
Bannerghata Road,corridor,FKID006855,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:24:57.730000,57.4,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:24:57.730000,56.9,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:24:57.730000,56.5,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:24:57.730000,56.1,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:24:57.730000,55.6,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:24:57.730000,54.8,0,3.4
Bannerghata Road,corridor,FKID006855,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:24:57.730000,54.4,0,3.4
Bannerghata Road,corridor,FKID006855,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:24:57.730000,53.7,0,3.3
Bannerghata Road,corridor,FKID006855,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:24:57.730000,48.4,0,3.2
Bannerghata Road,corridor,FKID006855,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:24:57.730000,39.0,0,3.0
Bannerghata Road,corridor,FKID006855,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:24:57.730000,38.1,0,3.0
Bannerghata Road,corridor,FKID006855,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:24:57.730000,37.6,0,2.9
Bannerghata Road,corridor,FKID006855,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:24:57.730000,36.9,0,2.9
Bannerghata Road,corridor,FKID006855,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:24:57.730000,35.8,0,2.9
Bannerghata Road,corridor,FKID006855,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:24:57.730000,32.3,0,2.8
Bannerghata Road,corridor,FKID006855,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:24:57.730000,30.5,0,2.8
Bannerghata Road,corridor,FKID006855,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:24:57.730000,28.3,0,2.7
Bannerghata Road,corridor,FKID006855,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:24:57.730000,27.6,0,2.7
Bannerghata Road,corridor,FKID006855,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:24:57.730000,25.7,0,2.6
Bannerghata Road,corridor,FKID005301,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:25:00.014000,59.7,0,3.5
Bannerghata Road,corridor,FKID005301,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:25:00.014000,58.8,0,3.5
Bannerghata Road,corridor,FKID005301,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:25:00.014000,58.5,0,3.5
Bannerghata Road,corridor,FKID005301,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:25:00.014000,58.0,0,3.5
Bannerghata Road,corridor,FKID005301,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:25:00.014000,57.4,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:25:00.014000,56.9,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:25:00.014000,56.6,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:25:00.014000,56.1,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:25:00.014000,55.7,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:25:00.014000,54.8,0,3.4
Bannerghata Road,corridor,FKID005301,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:25:00.014000,54.4,0,3.4
Bannerghata Road,corridor,FKID005301,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:25:00.014000,53.7,0,3.3
Bannerghata Road,corridor,FKID005301,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:25:00.014000,48.4,0,3.2
Bannerghata Road,corridor,FKID005301,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:25:00.014000,39.0,0,3.0
Bannerghata Road,corridor,FKID005301,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:25:00.014000,38.2,0,3.0
Bannerghata Road,corridor,FKID005301,FKID005314,2023-12-15 22:47:19.525000,2023-12-15 23:25:00.014000,37.7,0,2.9
Bannerghata Road,corridor,FKID005301,FKID005315,2023-12-15 22:48:05.968000,2023-12-15 23:25:00.014000,36.9,0,2.9
Bannerghata Road,corridor,FKID005301,FKID005316,2023-12-15 22:49:09.845000,2023-12-15 23:25:00.014000,35.8,0,2.9
Bannerghata Road,corridor,FKID005301,FKID005318,2023-12-15 22:52:41.485000,2023-12-15 23:25:00.014000,32.3,0,2.8
Bannerghata Road,corridor,FKID005301,FKID005319,2023-12-15 22:54:29.713000,2023-12-15 23:25:00.014000,30.5,0,2.8
Bannerghata Road,corridor,FKID005301,FKID005320,2023-12-15 22:56:41.852000,2023-12-15 23:25:00.014000,28.3,0,2.7
Bannerghata Road,corridor,FKID005301,FKID005321,2023-12-15 22:57:19.269000,2023-12-15 23:25:00.014000,27.7,0,2.7
Bannerghata Road,corridor,FKID005301,FKID005322,2023-12-15 22:59:17.445000,2023-12-15 23:25:00.014000,25.7,0,2.6
Bannerghata Road,corridor,FKID005302,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:25:15.370000,59.1,0,3.5
Bannerghata Road,corridor,FKID005302,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:25:15.370000,58.7,0,3.5
Bannerghata Road,corridor,FKID005302,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:25:15.370000,58.3,0,3.5
Bannerghata Road,corridor,FKID005302,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:25:15.370000,57.7,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:25:15.370000,57.2,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:25:15.370000,56.8,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005308,2023-12-15 22:28:54.045000,2023-12-15 23:25:15.370000,56.4,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005309,2023-12-15 22:29:19.220000,2023-12-15 23:25:15.370000,55.9,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005310,2023-12-15 22:30:09.627000,2023-12-15 23:25:15.370000,55.1,0,3.4
Bannerghata Road,corridor,FKID005302,FKID005053,2023-12-15 22:30:35.168000,2023-12-15 23:25:15.370000,54.7,0,3.4
Bannerghata Road,corridor,FKID005302,FKID006846,2023-12-15 22:31:15.501000,2023-12-15 23:25:15.370000,54.0,0,3.3
Bannerghata Road,corridor,FKID005302,FKID005311,2023-12-15 22:36:36.067000,2023-12-15 23:25:15.370000,48.7,0,3.2
Bannerghata Road,corridor,FKID005302,FKID005312,2023-12-15 22:45:58.074000,2023-12-15 23:25:15.370000,39.3,0,3.0
Bannerghata Road,corridor,FKID005302,FKID005313,2023-12-15 22:46:49.723000,2023-12-15 23:25:15.370000,38.4,0,3.0
